Date,price,ma7,ma30,trend7,prev1,target
2024-06-03,2346.60009765625,2339.342843191964,2344.143318684896,-42.599853515625,2322.89990234375,2325.5
2024-06-04,2325.5,2337.9857003348216,2343.919986979167,-9.5,2346.60009765625,2354.10009765625
2024-06-05,2354.10009765625,2341.0714285714284,2344.7999918619794,21.60009765625,2325.5,2370.300048828125
2024-06-06,2370.300048828125,2343.228585379464,2346.32666015625,15.10009765625,2354.10009765625,2305.199951171875
2024-06-07,2305.199951171875,2338.214285714286,2345.506656901042,-35.10009765625,2370.300048828125,2307.699951171875
2024-06-10,2307.699951171875,2333.185721261161,2344.6033203125,-35.199951171875,2305.199951171875,2307.5
2024-06-11,2307.5,2330.9857352120534,2343.339990234375,-15.39990234375,2307.699951171875,2336.0
2024-06-12,2336.0,2329.471435546875,2344.82666015625,-10.60009765625,2307.5,2300.199951171875
2024-06-13,2300.199951171875,2325.8571428571427,2344.836661783854,-25.300048828125,2336.0,2331.39990234375
2024-06-14,2331.39990234375,2322.6142578125,2345.9099934895835,-22.7001953125,2300.199951171875,2312.39990234375
2024-06-17,2312.39990234375,2314.3428083147323,2346.356656901042,-57.900146484375,2331.39990234375,2330.39990234375
2024-06-18,2330.39990234375,2317.942801339286,2346.6499837239585,25.199951171875,2312.39990234375,2353.800048828125
2024-06-20,2353.800048828125,2324.5285295758927,2347.9366536458333,46.10009765625,2330.39990234375,2316.39990234375
2024-06-21,2316.39990234375,2325.7999441964284,2348.02998046875,8.89990234375,2353.800048828125,2330.0
2024-06-24,2330.0,2324.942801339286,2347.9599772135416,-6.0,2316.39990234375,2316.60009765625
2024-06-25,2316.60009765625,2327.2856794084823,2346.269978841146,16.400146484375,2330.0,2299.199951171875
2024-06-26,2299.199951171875,2322.6856863839284,2345.039973958333,-32.199951171875,2316.60009765625,2324.5
2024-06-27,2324.5,2324.4142717633927,2344.0766438802084,12.10009765625,2299.199951171875,2327.699951171875
